name,element,team,position,value,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,influence,creativity,threat,ict_index,round
Leander Dendoncker,434,Wolves,MID,48,2,90,0,0,0,0,1.8,1.7,0.0,0.4,9
Leandro Trossard,64,Brighton,MID,64,2,90,0,0,0,0,15.8,32.8,36.0,8.5,9
Leo Fuhr Hjelde,608,Leeds,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Leon Bailey,492,Aston Villa,MID,64,4,45,0,1,0,0,20.6,12.8,10.0,4.3,9
Lewis Dobbin,607,Everton,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Lewis Dunk,59,Brighton,DEF,50,0,90,0,0,0,0,32.0,0.3,4.0,3.6,9
Lewis Richardson,533,Burnley,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Liam Cooper,184,Leeds,DEF,45,2,90,0,0,0,0,9.6,1.2,8.0,1.9,9
Liam McCarron,576,Leeds,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Louie Moulden,611,Wolves,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Lucas Digne,168,Everton,DEF,53,-1,90,0,0,0,1,22.2,40.3,29.0,9.2,9
Lucas Rodrigues Moura da Silva,362,Spurs,MID,64,2,90,0,0,0,0,4.6,4.7,4.0,1.3,9
Lucas Torreira,18,Arsenal,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Luka Milivojevic,152,Crystal Palace,MID,54,2,72,0,0,0,0,6.8,6.7,8.0,2.2,9
Lukas Rupp,317,Norwich,MID,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Lukasz Fabianski,408,West Ham,GK,50,9,90,0,0,1,0,30.0,0.0,0.0,3.0,9
Luke Ayling,185,Leeds,DEF,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Luke Cundle,547,Wolves,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Luke Mbete,603,Man City,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Luke Shaw,275,Man Utd,DEF,53,-1,90,0,0,0,1,8.8,29.0,1.0,3.9,9
Luke Thomas,219,Leicester,DEF,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Lyanco Evangelista Silveira Neves Vojnovic,567,Southampton,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mads Bech Sørensen,90,Brentford,DEF,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mads Bidstrup,97,Brentford,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mads Roerslev Rasmussen,89,Brentford,DEF,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mahmoud Ahmed Ibrahim Hassan,37,Aston Villa,MID,54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Malang Sarr,501,Chelsea,DEF,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Manuel Lanzini,416,West Ham,MID,58,1,5,0,0,0,0,0.4,0.7,0.0,0.1,9
Marc Albrighton,202,Leicester,MID,53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Marc Cucurella,584,Brighton,DEF,50,0,90,0,0,0,0,8.6,13.6,6.0,2.8,9
Marc Guéhi,477,Crystal Palace,DEF,45,2,90,0,0,0,0,26.2,4.5,17.0,4.8,9
Marc Navarro,398,Watford,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Marco Stiepermann,316,Norwich,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Marcos Alonso,122,Chelsea,DEF,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Marcus Bettinelli,606,Chelsea,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Marcus Forss,88,Brentford,FWD,53,1,33,0,0,0,0,0.0,0.1,2.0,0.1,9
Marcus Rashford,281,Man Utd,MID,94,2,61,0,0,0,0,1.6,2.4,44.0,4.8,9
Mark Gillespie,514,Newcastle,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mark Noble,406,West Ham,MID,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Martin Dubravka,295,Newcastle,GK,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Martin Kelly,151,Crystal Palace,DEF,39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Martin Ødegaard,558,Arsenal,MID,55,1,22,0,0,0,0,4.4,1.3,7.0,1.3,9
Marvelous Nakamba,41,Aston Villa,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mason Greenwood,289,Man Utd,MID,76,1,45,0,0,0,0,7.8,21.4,21.0,5.0,9
Mason Holgate,178,Everton,DEF,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mason Mount,138,Chelsea,MID,74,24,90,3,1,1,0,123.8,41.3,61.0,22.6,9
Matej Vydra,111,Burnley,FWD,52,1,1,0,0,0,0,0.0,0.0,0.0,0.0,9
Mateo Kovacic,125,Chelsea,MID,53,11,90,0,2,1,0,55.4,72.3,1.0,12.9,9
Mateusz Klich,186,Leeds,MID,55,2,62,0,0,0,0,2.8,5.9,17.0,2.6,9
Mathew Ryan,65,Brighton,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mathias Jensen,86,Brentford,MID,49,7,90,0,1,0,0,30.2,53.2,0.0,8.3,9
Mathias Jorgensen,594,Brentford,DEF,45,6,90,1,0,0,1,47.0,11.5,51.0,11.0,9
Mathias Normann,581,Norwich,MID,45,1,90,0,0,0,1,0.0,4.8,8.0,0.9,9
Matt Doherty,360,Spurs,DEF,47,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Matt Ritchie,292,Newcastle,DEF,49,1,90,0,0,0,1,17.0,22.6,8.0,4.8,9
Matt Targett,39,Aston Villa,DEF,48,0,90,0,0,0,1,10.6,36.2,2.0,4.9,9
Matthew Cash,44,Aston Villa,DEF,51,1,90,0,0,0,0,10.4,12.2,2.0,2.5,9
Matthew Longstaff,312,Newcastle,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Matthew Lowton,110,Burnley,DEF,44,4,90,0,1,0,0,35.4,14.8,0.0,5.0,9
Matthew Pollock,454,Watford,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mattéo Guendouzi,25,Arsenal,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Max Aarons,326,Norwich,DEF,44,-3,90,0,0,0,0,0.0,2.2,0.0,0.1,9
Max Kilman,439,Wolves,DEF,45,1,90,0,0,0,1,22.4,0.3,7.0,3.0,9
Maxwel Cornet,578,Burnley,MID,60,15,77,2,0,0,0,69.8,15.0,26.0,11.1,9
Mbwana Ally Samatta,48,Aston Villa,FWD,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Michael Keane,169,Everton,DEF,50,4,90,0,1,0,0,45.6,10.5,4.0,6.0,9
Michael McGovern,313,Norwich,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Michael Obafemi,348,Southampton,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Michael Olise,464,Crystal Palace,MID,54,2,66,0,0,0,0,9.2,32.3,4.0,4.6,9
Michail Antonio,413,West Ham,FWD,81,7,90,1,0,1,0,36.6,28.8,39.0,10.4,9
Michal Karbownik,536,Brighton,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Michy Batshuayi,126,Chelsea,FWD,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Miguel Almirón,308,Newcastle,MID,53,1,24,0,0,0,0,11.4,14.6,4.0,3.0,9
Milot Rashica,449,Norwich,MID,53,1,45,0,0,0,0,3.4,0.5,17.0,2.1,9
Mohamed Elyounoussi,517,Southampton,MID,55,1,90,0,0,0,1,7.4,13.3,10.0,3.1,9
Mohamed Naser El Sayed Elneny,12,Arsenal,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Mohamed Salah,233,Liverpool,MID,128,24,90,3,1,1,0,121.2,33.3,90.0,24.5,9
Mohammed Salisu,351,Southampton,DEF,45,1,90,0,0,0,0,20.2,0.9,0.0,2.1,9
Moise Kean,564,Everton,FWD,60,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Moisés Caicedo,538,Brighton,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Morgan Gibbs-White,440,Wolves,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Morgan Sanson,34,Aston Villa,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Moussa Djenepo,350,Southampton,MID,54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Moussa Sissoko,354,Watford,MID,45,2,90,0,0,0,0,18.8,5.5,1.0,2.5,9
N'Golo Kanté,130,Chelsea,MID,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Naby Keita,239,Liverpool,MID,50,13,63,1,1,1,0,59.4,42.9,22.0,12.4,9
Nampalys Mendy,203,Leicester,MID,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nathan Aké,258,Man City,DEF,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nathan Broadhead,545,Everton,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nathan Collins,451,Burnley,DEF,43,1,90,0,0,0,0,21.8,10.5,0.0,3.2,9
Nathan Ferguson,161,Crystal Palace,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nathan Redmond,336,Southampton,MID,59,5,88,0,1,0,0,28.2,48.3,46.0,12.3,9
Nathan Tella,346,Southampton,MID,48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nathaniel Chalobah,385,Watford,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nathaniel Clyne,493,Crystal Palace,DEF,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nathaniel Phillips,241,Liverpool,DEF,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Neal Maupay,63,Brighton,FWD,66,1,57,0,0,0,0,0.0,1.3,0.0,0.1,9
Neco Williams,246,Liverpool,DEF,39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nemanja Matic,271,Man Utd,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nick Pope,112,Burnley,GK,54,1,90,0,0,0,0,10.6,0.0,0.0,1.1,9
Nicolas Nkoulou,618,Watford,DEF,45,1,14,0,0,0,0,0.0,0.0,0.0,0.0,9
Nicolas Pépé,17,Arsenal,MID,71,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Niels Nkounkou,570,Everton,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nikola Vlasic,582,West Ham,MID,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nohan Kenneh,600,Leeds,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Nuno Varela Tavares,466,Arsenal,DEF,43,2,90,0,0,0,0,16.2,20.8,41.0,7.8,9
Nélson Cabral Semedo,437,Wolves,DEF,49,2,90,0,0,0,0,12.4,10.7,0.0,2.3,9
Odsonne Edouard,586,Crystal Palace,FWD,65,2,90,0,0,0,0,8.0,5.6,30.0,4.4,9
Oghenekaro Peter Etebo,467,Watford,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Oleksandr Zinchenko,264,Man City,DEF,53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Oliver Skipp,373,Spurs,MID,45,2,90,0,0,0,0,16.4,3.8,4.0,2.4,9
Olivier Giroud,120,Chelsea,FWD,65,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Ollie Watkins,40,Aston Villa,FWD,73,1,90,0,0,0,1,3.8,3.2,36.0,4.3,9
Onel Hernández,320,Norwich,MID,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Oriol Romeu Vidal,335,Southampton,MID,45,2,90,0,0,0,0,16.2,28.4,0.0,4.5,9
Owen Dodgson,565,Burnley,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Owen Otasowie,442,Wolves,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Ozan Kabak,580,Norwich,DEF,45,-1,90,0,0,0,0,15.6,0.3,1.0,1.7,9
Ozan Tufan,557,Watford,MID,50,2,63,0,0,0,0,3.6,3.4,4.0,1.1,9
Pablo Fornals,423,West Ham,MID,60,3,90,0,0,1,0,26.8,42.2,37.0,10.6,9
Pablo Hernández Domínguez,182,Leeds,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Pablo Marí,8,Arsenal,DEF,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Paris Maghoma,614,Brentford,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Pascal Groß,55,Brighton,MID,60,2,71,0,0,0,0,5.8,15.4,17.0,3.8,9
Pascal Struijk,198,Leeds,DEF,44,2,90,0,0,0,0,14.8,3.3,2.0,2.0,9
Patrick Bamford,189,Leeds,FWD,78,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Patrick Cutrone,523,Wolves,FWD,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Patrik Gunnarsson,94,Brentford,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Patson Daka,455,Leicester,FWD,71,4,45,0,1,0,0,22.2,11.9,33.0,6.7,9
Paul Dummett,301,Newcastle,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Paul Pogba,272,Man Utd,MID,76,-2,15,0,0,0,0,0.0,0.8,0.0,0.0,9
Pedro Lomba Neto,441,Wolves,MID,64,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Pelenda Joshua Dasilva,82,Brentford,MID,53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Phil Bardsley,99,Burnley,DEF,39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Phil Foden,265,Man City,MID,80,18,90,2,1,0,0,91.4,25.3,148.0,26.5,9
Philip Zinckernagel,392,Watford,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Pierluigi Gollini,486,Spurs,GK,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Pierre Lees-Melou,471,Norwich,MID,50,0,45,0,0,0,1,0.0,1.5,0.0,0.0,9
Pierre-Emerick Aubameyang,4,Arsenal,FWD,99,6,90,1,1,0,1,56.0,24.6,68.0,14.9,9
Pierre-Emile Højbjerg,365,Spurs,MID,49,2,90,0,0,0,0,19.8,5.0,7.0,3.2,9
Pontus Jansson,76,Brentford,DEF,47,1,90,0,0,0,0,8.4,0.3,9.0,1.8,9
Przemyslaw Placheta,328,Norwich,MID,48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Raheem Sterling,255,Man City,MID,107,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Raphael Dias Belloli,196,Leeds,MID,67,1,53,0,0,0,0,16.0,26.5,16.0,5.9,9
Raphaël Varane,555,Man Utd,DEF,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Rayan Ait Nouri,470,Wolves,DEF,43,6,82,0,0,1,0,20.6,1.4,19.0,4.1,9
Raúl Jiménez,430,Wolves,FWD,76,5,90,0,1,0,0,11.8,12.9,31.0,5.6,9
Reece Hannam,540,Crystal Palace,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Reece James,142,Chelsea,DEF,55,13,90,1,0,1,0,44.2,26.4,21.0,9.2,9
Reiss Nelson,531,Arsenal,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Remi Matthews,561,Crystal Palace,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Rhys Williams,247,Liverpool,DEF,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Ricardo Domingos Barbosa Pereira,207,Leicester,DEF,54,2,90,0,0,0,0,24.0,12.8,2.0,3.9,9
Richarlison de Andrade,180,Everton,FWD,74,4,30,1,0,0,1,39.2,14.5,23.0,7.7,9
Rico Henry,83,Brentford,DEF,45,1,90,0,0,0,0,5.2,2.4,5.0,1.3,9
Riyad Mahrez,254,Man City,MID,87,6,3,1,0,0,0,33.2,2.5,19.0,5.5,9
Rob Holding,14,Arsenal,DEF,42,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Robert Elliot,574,Watford,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Robert Street,542,Crystal Palace,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Robert Sánchez,69,Brighton,GK,46,4,90,0,0,0,0,59.2,0.0,0.0,5.9,9
Roberto Firmino,228,Liverpool,FWD,88,2,76,0,0,1,0,7.2,14.4,32.0,5.4,9
Robin Koch,194,Leeds,DEF,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Rodrigo Hernandez,266,Man City,MID,55,2,90,0,0,0,0,11.0,3.7,6.0,2.1,9
Rodrigo Moreno,187,Leeds,FWD,63,8,90,1,0,0,1,56.6,66.0,40.0,16.3,9
Romain Perraud,460,Southampton,DEF,49,1,90,0,0,0,0,6.8,13.0,8.0,2.8,9
Romain Saïss,431,Wolves,DEF,50,1,90,0,0,0,1,22.4,0.6,0.0,2.3,9
Romelu Lukaku,529,Chelsea,FWD,116,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Romeo Lavia,605,Man City,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Ross Barkley,124,Chelsea,MID,53,1,20,0,0,0,0,3.6,12.5,18.0,3.4,9
Ruben Loftus-Cheek,132,Chelsea,MID,54,4,26,0,1,0,0,29.8,11.4,16.0,5.7,9
Rui Pedro dos Santos Patrício,427,Wolves,GK,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Ryan Bertrand,473,Leicester,DEF,48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Ryan Fraser,298,Newcastle,MID,54,2,65,0,0,0,0,4.2,14.2,2.0,2.0,9
Ryan Fredericks,415,West Ham,DEF,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Ryan Sessegnon,368,Spurs,DEF,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Rúben Diogo da Silva Neves,436,Wolves,MID,54,1,1,0,0,0,0,2.0,0.0,0.0,0.2,9
Rúben Santos Gato Alves Dias,262,Man City,DEF,62,2,90,0,0,0,0,11.2,1.5,4.0,1.7,9
Rúnar Alex Rúnarsson,2,Arsenal,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Sadio Mané,230,Liverpool,MID,119,1,13,0,0,0,0,0.2,0.8,18.0,1.9,9
Salomón Rondón,591,Everton,FWD,60,1,90,0,0,0,1,6.4,5.0,14.0,2.5,9
Sam Byram,321,Norwich,DEF,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Sam Greenwood,550,Leeds,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Saman Ghoddos,85,Brentford,MID,53,1,14,0,0,0,0,2.4,0.2,2.0,0.5,9
Samuel Edozie,508,Man City,MID,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Saïd Benrahma,419,West Ham,MID,66,3,84,0,0,1,0,5.4,2.1,47.0,5.5,9
Saúl Ñíguez,592,Chelsea,MID,52,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Scott Banks,543,Crystal Palace,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Scott Carson,593,Man City,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Scott McTominay,285,Man Utd,MID,54,2,90,0,0,0,0,22.0,34.2,4.0,6.0,9
Sead Kolasinac,11,Arsenal,DEF,43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Seamus Coleman,165,Everton,DEF,49,0,90,0,0,0,0,23.2,26.8,10.0,6.0,9
Sean Longstaff,309,Newcastle,MID,45,2,65,0,0,0,0,12.0,1.8,2.0,1.6,9
Serge Aurier,358,Spurs,DEF,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Sergi Canós,81,Brentford,MID,55,2,90,0,0,0,0,12.6,36.5,2.0,5.1,9
Sergio Reguilón,370,Spurs,DEF,51,2,83,0,0,0,0,20.4,34.8,1.0,5.6,9
Shandon Baptiste,499,Brentford,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Shane Duffy,56,Brighton,DEF,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Shane Long,519,Southampton,FWD,54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Solomon March,60,Brighton,MID,53,2,90,0,0,0,0,11.0,11.3,12.0,3.4,9
Steven Alzate,73,Brighton,MID,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Steven Bergwijn,369,Spurs,MID,59,1,1,0,0,0,0,0.0,0.0,0.0,0.0,9
Stipe Perica,388,Watford,FWD,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Stuart Armstrong,339,Southampton,MID,58,1,16,0,0,0,0,6.4,22.5,2.0,3.1,9
Stuart Dallas,188,Leeds,MID,52,3,90,0,0,0,0,24.2,31.4,8.0,6.4,9
Stuart McKinstry,601,Leeds,MID,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Takehiro Tomiyasu,590,Arsenal,DEF,46,2,90,0,0,0,0,16.2,3.2,1.0,2.0,9
Takumi Minamino,236,Liverpool,MID,52,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Tammy Abraham,136,Chelsea,FWD,65,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Tanguy Ndombele,375,Spurs,MID,58,2,83,0,0,0,0,7.6,24.4,27.0,5.9,9
Tariq Lamptey,71,Brighton,DEF,44,1,33,0,0,0,0,5.0,11.2,8.0,2.4,9
Tariqe Fosu-Henry,79,Brentford,MID,52,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Taylor Richards,537,Brighton,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Teemu Pukki,315,Norwich,FWD,59,2,90,0,0,0,0,3.2,16.3,0.0,2.0,9
Theo Walcott,332,Southampton,MID,58,2,73,0,0,0,0,0.0,1.4,28.0,2.8,9
Thiago Alcántara do Nascimento,225,Liverpool,MID,53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Thiago Emiliano da Silva,121,Chelsea,DEF,55,6,90,0,0,1,0,24.2,11.9,0.0,3.6,9
Thomas Partey,15,Arsenal,MID,50,8,90,1,0,0,0,39.4,6.8,77.0,12.3,9
Tim Krul,314,Norwich,GK,45,1,90,0,0,0,0,45.2,0.0,0.0,4.5,9
Timo Werner,134,Chelsea,FWD,86,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Timothy Castagne,209,Leicester,DEF,53,2,90,0,0,0,0,11.0,4.6,2.0,1.8,9
Tino Livramento,491,Southampton,DEF,43,9,90,1,0,0,0,51.6,42.8,55.0,14.9,9
Tobi Omole,598,Spurs,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Toby Alderweireld,355,Spurs,DEF,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Todd Cantwell,325,Norwich,MID,53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Tom Cleverley,381,Watford,MID,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Tom Davies,176,Everton,MID,49,7,90,1,0,0,0,43.2,2.5,45.0,9.1,9
Tom Heaton,509,Man Utd,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Tomas Soucek,422,West Ham,MID,59,2,90,0,0,1,1,8.8,21.7,15.0,4.6,9
Tommy Doyle,566,Man City,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Trent Alexander-Arnold,237,Liverpool,DEF,75,10,90,0,1,1,0,39.4,43.2,11.0,9.4,9
Trevoh Chalobah,527,Chelsea,DEF,48,6,90,0,0,1,0,11.6,12.8,2.0,2.6,9
Troy Deeney,380,Watford,FWD,54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Tyler Roberts,193,Leeds,MID,49,1,45,0,0,0,0,0.0,21.1,9.0,3.0,9
Tyrick Mitchell,162,Crystal Palace,DEF,45,7,90,0,1,0,0,25.6,17.4,6.0,4.9,9
Tyrone Mings,38,Aston Villa,DEF,50,0,90,0,0,0,1,12.0,0.0,0.0,1.2,9
Vicente Guaita,146,Crystal Palace,GK,45,2,90,0,0,0,0,1.2,0.0,0.0,0.1,9
Victor Lindelöf,284,Man Utd,DEF,48,0,90,0,0,0,0,9.2,0.3,0.0,1.0,9
Viljami Sinisalo,596,Aston Villa,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Virgil van Dijk,229,Liverpool,DEF,66,6,90,0,0,1,0,20.8,0.6,0.0,2.1,9
Vitaly Janelt,84,Brentford,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Vladimir Coufal,418,West Ham,DEF,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Wayne Hennessey,480,Burnley,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Wesley Fofana,220,Leicester,DEF,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Wesley Moraes,47,Aston Villa,FWD,54,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Wilfred Ndidi,216,Leicester,MID,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Wilfried Zaha,154,Crystal Palace,MID,70,1,24,0,0,0,0,1.6,11.3,23.0,3.6,9
Will Hughes,386,Crystal Palace,MID,48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Will Norris,114,Burnley,GK,44,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
William Saliba,27,Arsenal,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
William Smallbone,347,Southampton,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
William Troost-Ekong,387,Watford,DEF,45,0,90,0,0,0,1,23.8,0.2,0.0,2.4,9
Willian Borges Da Silva,3,Arsenal,MID,63,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Willy Boly,428,Wolves,DEF,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Winston Reid,410,West Ham,DEF,39,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Xherdan Shaqiri,226,Liverpool,MID,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Yan Valery,546,Southampton,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Yerry Mina,175,Everton,DEF,49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Yerson Mosquera Valdelamar,446,Wolves,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Yoane Wissa,524,Brentford,MID,59,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Youri Tielemans,210,Leicester,MID,64,10,90,1,0,0,0,56.4,41.1,7.0,10.5,9
Yves Bissouma,70,Brighton,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Zack Steffen,260,Man City,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Álvaro Fernández,556,Brentford,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9
Çaglar Söyüncü,217,Leicester,DEF,49,1,67,0,0,0,1,13.8,0.3,4.0,1.8,9
Aaron Connolly,72,Brighton,FWD,53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10
